¼ø¹ø,±¸ºÐ,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,22-Oct,22-Nov,22-Dec,22-Jan,22-Feb,22-Mar
44,ºÏ¹Ì´ó±âÈòÁ×Áö,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,´ó±âÈòÁ×Áö,42,258,934,4250,3430,808,0,0,0,0,0,0,297,543,"1,797","2,345","1,327","1,853",0,0,0,0,0,0,299,"2,792","6,386","7,325",955,"2,404",0,0,0,0,0,0,26,"1,740","4,845","4,839","3,983","3,594",0,0,0,0,0,0,862,"2,115","3,390","4,567","3,485","4,330"
46,°ËÀº¸Ó¸®ÈòÁ×Áö,0,1580,1034,66,467,672,0,0,0,0,0,0,71,92,86,83,158,314,0,0,0,0,0,0,687,138,106,259,44,313,0,0,0,0,0,0,2,202,628,156,22,399,0,0,0,0,0,0,675,331,269,471,502,844
47,¼è°ËÀº¸Ó¸®ÈòÁ×Áö,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,È£»çºÏ¹æ¿À¸®,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,ÈòÁÙ¹ÚÀÌ¿À¸®,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,°ËµÕ¿À¸®»çÃÌ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,°ËµÕ¿À¸®,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,¹Ù´Ù²æ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
53,²¿¸¶¿À¸®,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Èò»´¿À¸®,0,399,1802,921,1180,477,0,0,0,0,0,0,0,116,"1,123","1,783","1,166",832,0,0,0,0,0,0,0,635,"1,599",952,504,367,0,0,0,0,0,0,5,80,964,"1,251","1,346",104,0,0,0,0,0,0,0,204,"1,282","1,027","1,085",312
55,ºÏ¹æÈò»´¿À¸®,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Èòºñ¿À¸®,0,162,280,201,178,115,0,0,0,0,0,0,0,165,249,224,185,78,0,0,0,0,0,0,0,78,165,222,128,37,0,0,0,0,0,0,0,87,391,96,101,50,0,0,0,0,0,0,0,31,263,169,408,83
57,ºñ¿À¸®,0,1276,2007,2126,1851,878,0,0,0,0,0,0,3,486,"2,202","2,175","1,183",872,0,0,0,0,0,0,0,842,"2,165","2,767","1,074",712,0,0,0,0,0,0,4,774,"1,981","2,015","1,172",476,0,0,0,0,0,0,3,546,"1,548","2,451","1,898",873
58,¹Ù´Ùºñ¿À¸®,0,16,76,95,36,132,0,0,0,0,0,0,0,99,49,56,11,199,0,0,0,0,0,0,0,0,71,125,120,55,0,0,0,0,0,0,0,42,169,65,21,73,0,0,0,0,0,0,0,9,80,79,146,243
59,È£»çºñ¿À¸®,0,64,14,47,35,34,0,0,0,0,0,0,6,86,96,52,5,55,0,0,0,0,0,0,10,58,28,53,50,18,0,0,0,0,0,0,16,40,24,32,18,17,0,0,0,0,0,0,0,26,55,24,12,25
60,¾Æºñ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Å«È¸»ö¸Ó¸®¾Æºñ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,È¸»ö¸Ó¸®¾Æºñ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,ÈòºÎ¸®¾Æºñ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,·¹ÀÌ»ê¾Ë¹ÙÆ®·Î½º,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,¾Ë¹ÙÆ®·Î½º,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Èò¹è½¿»õ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,½¿»õ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,¼èºÎ¸®½¿»õ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
