"구분","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","평균"
"조사종수","43","54","99","109","62","50","69.50"
"경상북도","2,609","8,295","68,530","87,187","23,331","13,981","33,988.83"
"구미 해평(도흥리-일선교)","517","1,650","4,978","17,392","13,207","6,913","7,442.83"
"감천","391","675","1,362","1,041","648","992","851.50"
"낙동강(일선교-안동시)","0","0","3,675","1,878","0","0","925.50"
"내성천","0","0","211","91","0","0","50.33"
"안동호","0","0","2,255","1,922","0","0","696.17"
"임하호","0","0","475","558","0","0","172.17"
"낙동강(달성-남지)","0","0","2,450","1,307","0","0","626.17"
"덕동호","0","0","0","0","0","0",""
"보문호","0","0","0","0","0","0",""
"형산강(나정교-강동교)","616","1,468","2,596","2,345","6,876","3,461","2,893.67"
"형산강(형산교-제1강동교)","1,085","4,502","3,551","3,236","2,600","2,615","2,931.50"
"안계저수지","0","0","2,144","1,692","0","0","639.33"
"용연지","0","0","0","0","0","0",""
"하곡지(딱실못)","0","0","0","0","0","0",""
"울산-구룡포 해안","0","0","16,174","19,320","0","0","5,915.67"
"포항-영덕 해안","0","0","3,489","11,288","0","0","2,462.83"
"영덕-평해 해안","0","0","11,400","12,182","0","0","3,930.33"
"평해-울진 해안","0","0","8,719","8,332","0","0","2,841.83"
"울진-원덕 해안","0","0","5,051","4,603","0","0","1,609.00"
