¼ø¹ø,±¸ºÐ,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,22-Oct,22-Nov,22-Dec,22-Jan,22-Feb,22-Mar
,È²¿À¸®,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
,¿ø¾Ó»çÃÌ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,¿ø¾Ó,79,0,29,29,29,0,0,0,0,0,0,0,0,0,31,14,0,0,0,0,0,0,0,0,93,0,533,162,13,24,0,0,0,0,0,0,50,114,20,54,18,22,0,0,0,0,0,0,88,4,7,27,14,14
,¾Ë¶ô¿À¸®,0,118,609,691,655,19,0,0,0,0,0,0,0,53,878,209,185,121,0,0,0,0,0,0,0,89,385,698,102,31,0,0,0,0,0,0,1,130,539,371,862,77,0,0,0,0,0,0,2,270,496,"1,070",839,101
,Ã»¸Ó¸®¿À¸®,2,3,358,283,285,0,0,0,0,0,0,0,0,3,483,393,22,10,0,0,0,0,0,0,0,0,451,272,0,4,0,0,0,0,0,0,0,64,244,496,48,2,0,0,0,0,0,0,8,221,175,135,307,0
,È«¸Ó¸®¿À¸®,8,20,164,73,117,123,0,0,0,0,0,0,48,80,267,137,81,199,0,0,0,0,0,0,14,229,399,200,362,53,0,0,0,0,0,0,46,64,173,120,70,99,0,0,0,0,0,0,138,146,384,496,243,92
,¾Æ¸Þ¸®Ä«È«¸Ó¸®¿À¸®,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,¹Ì±¹¿À¸®,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ã»µÕ¿À¸®,78,"3,067","6,400","9,308","11,620","2,320",0,0,0,0,0,0,55,"3,120","7,039","11,247","5,972","5,633",0,0,0,0,0,0,33,"4,240","13,287","10,035","6,057","3,874",0,0,0,0,0,0,29,"2,001","6,026","7,884","4,875",718,0,0,0,0,0,0,118,"6,505","7,312","6,781","7,631","2,137"
,Èò»´°ËµÕ¿À¸®,850,932,"2,864","5,286","3,959","1,950",0,0,0,0,0,0,597,"1,021","4,349","5,140","1,823","1,279",0,0,0,0,0,0,861,"1,734","6,179","4,509","2,678","1,880",0,0,0,0,0,0,"1,084","1,481","1,952","4,203","1,969",830,0,0,0,0,0,0,"1,217","2,323","4,277","4,125","3,882","1,288"
,³ÐÀûºÎ¸®,0,1,3,25,4,0,0,0,0,0,0,0,2,57,10,0,22,17,0,0,0,0,0,0,2,23,2,9,59,51,0,0,0,0,0,0,0,9,40,15,34,8,0,0,0,0,0,0,0,54,28,26,8,8
