"구분","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","평균"
"조사종수","49","56","99","108","63","55","71.67"
"경상북도","3,425","11,505","79,839","65,750","23,669","9,604","32,298.67"
"구미 해평(도흥리-일선교)","770","2,881","7,154","12,111","12,815","3,795","6,587.67"
"감천","722","1,753","1,145","1,237","1,003","930","1,131.67"
"낙동강(일선교-안동시)","0","0","4,932","2,954","0","0","1,314.33"
"내성천","0","0","226","230","0","0","76.00"
"안동호","0","0","2,173","2,214","0","0","731.17"
"임하호","0","0","611","539","0","0","191.67"
"낙동강(달성-남지)","0","0","2,633","2,924","0","0","926.17"
"덕동호","0","0","0","0","0","0",""
"보문호","0","0","0","0","0","0",""
"형산강(나정교-강동교)","881","2,391","3,115","3,385","5,152","3,689","3,102.17"
"형산강(형산교-제1강동교)","1,052","4,480","3,567","3,572","4,699","1,190","3,093.33"
"안계저수지","0","0","3,526","1,156","0","0","780.33"
"용연지","0","0","0","0","0","0",""
"하곡지(딱실못)","0","0","0","0","0","0",""
"울산-구룡포 해안","0","0","26,647","11,658","0","0","6,384.17"
"포항-영덕 해안","0","0","7,756","7,416","0","0","2,528.67"
"영덕-평해 해안","0","0","7,787","5,932","0","0","2,286.50"
"평해-울진 해안","0","0","4,997","4,363","0","0","1,560.00"
"울진-원덕 해안","0","0","3,570","6,059","0","0","1,604.83"
