,구분,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,평균,위도,경도
0,조사종수,113,104,123,117,117,118,115.33,-,-
1,경기도,"110,282","124,074","155,500","168,324","134,607","124,194","136,163.50",37.2752,127.0095
2,연천군,0,0,"5,196","3,060","6,200",0,"2,409.33",38.0964,127.0746
4,팔당호(경안천 포함),"4,021","4,126","1,105","1,202",546,"3,687","2,447.83",37.513865100000004,127.30635998178684
5,남한강(양평-여주),0,0,"4,373","6,934","3,906",0,"2,535.50",37.4990915,127.4780323980459
6,남한강(여주-충주),"3,794","8,669","8,796","10,553","12,337","13,005","9,525.67",37.2997615,127.6493037
7,북한강(청평댐-화천교),0,0,"1,100","1,015",947,0,510.33,37.721817,127.4064049
8,안양천,"3,318","3,927","3,669","2,648","2,848","1,594","3,000.67",37.4606346,126.8891702
9,"한강하구(오두산전망대-일산대교)·김포평야(하성, 사우동)·공릉천","1,535","6,657","17,609","19,160","14,771","1,491","10,203.83",37.651931950000005,126.71744145929797
10,"한강하류(일산대교-행주대교)·이화동 일원(홍도평, 이화리, 태리)","9,880","8,684","16,774","13,824","11,789","7,859","11,468.33",37.5928784,126.8047787
11,임진강(장남교-오두산전망대),"11,519","36,047","17,078","28,436","18,417","38,018","24,919.17",37.9699351,126.8939423
12,대부도,0,0,"7,075","3,232","6,762",0,"2,844.83",37.251481749999996,126.60066961024701
13,시화호,"45,347","23,082","8,382","9,083","3,423","20,632","18,324.83",37.297262,126.66935315697435
14,왕송저수지,0,0,"1,757",491,493,0,456.83,37.3100504,126.9506537
15,물왕저수지,0,0,0,0,0,0,,37.38107945,126.83683015239595
16,발안저수지,0,0,282,160,507,0,158.17,37.1705159,126.93073168904343
17,서호,0,0,"2,961","1,302","1,186",0,908.17,37.27748285,126.98915042535754
18,진위천,0,0,"6,093","5,140","2,550",0,"2,297.17",37.0959721,127.090684
19,이동저수지,0,0,266,"1,232",545,0,340.50,37.120856,127.20151849648728
20,고삼저수지,0,0,"1,270",859,"1,357",0,581.00,37.0853719,127.29800298715521
21,청미천,"2,015","1,223","1,779","8,242","4,267","2,837","3,393.83",37.1048523,127.5357903
22,"남양만(장안면, 우정면)","19,107","17,414","14,729","17,663","14,529","23,275","17,786.17",37.0261002,126.7954341
23,남양호,"2,552","2,864","5,607","9,581","2,272","1,592","4,078.00",37.04744185,126.87328320640002
24,아산만,0,0,"6,593","3,924","3,324",0,"2,306.83",37.01885285,126.69386603339379
25,아산호,"2,140","4,306","7,226","7,090","10,208","2,852","5,637.00",36.9213786,126.92423665523302
26,안성천,"1,395",917,"1,454","2,545","1,128",946,"1,397.50",37.0164713,127.3078027
27,공릉천중류,"1,182","2,479","3,547","1,993","2,855","1,366","2,237.00",37.6844637,126.8660552
28,황구지천,"1,061","1,244","4,928","2,859","1,490","2,101","2,280.50",37.2310323,126.9928962
29,포천천,642,639,490,815,848,565,666.50,37.8244996,127.1475775
30,복하천,774,"1,796","2,886","1,693","2,120","2,374","1,940.50",37.2581444,127.4503044
31,경안천,0,0,0,0,0,0,,37.3407933,127.2491459
32,공릉천하류,0,0,0,0,0,0,,37.745301,126.7902293
33,화성호,0,0,0,0,0,0,,37.1061824,126.70903131354012
34,신천,0,0,0,0,0,0,,37.41413985,126.75558837746314
35,원천리천,0,0,0,0,0,0,,37.2513315,127.0427366
