,구분,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,평균,위도,경도
0,조사종수,49,56,99,108,63,55,71.67,-,-
1,경상북도,"3,425","11,505","79,839","65,750","23,669","9,604","32,298.67",36.5754,128.5058
2,구미 해평(도흥리-일선교),770,"2,881","7,154","12,111","12,815","3,795","6,587.67",36.2729362,128.3399024
3,감천,722,"1,753","1,145","1,237","1,003",930,"1,131.67",36.0015778,128.0346555
4,낙동강(일선교-안동시),0,0,"4,932","2,954",0,0,"1,314.33",36.5542601,128.7358335
5,내성천,0,0,226,230,0,0,76.00,36.7931386,128.7005271
6,안동호,0,0,"2,173","2,214",0,0,731.17,36.635761849999994,128.84789444353194
7,임하호,0,0,611,539,0,0,191.67,36.545353950000006,128.90499965564055
8,낙동강(달성-남지),0,0,"2,633","2,924",0,0,926.17,36.5595332,128.7403049
9,덕동호,0,0,0,0,0,0,,35.84188875,129.30835234107144
10,보문호,0,0,0,0,0,0,,35.84476345,129.27738318016281
11,형산강(나정교-강동교),881,"2,391","3,115","3,385","5,152","3,689","3,102.17",35.7913959,129.2011712
12,형산강(형산교-제1강동교),"1,052","4,480","3,567","3,572","4,699","1,190","3,093.33",36.0094968,129.3752861
13,안계저수지,0,0,"3,526","1,156",0,0,780.33,36.01620145,129.2647833443135
14,용연지,0,0,0,0,0,0,,36.3375604,128.6703276884224
15,하곡지(딱실못),0,0,0,0,0,0,,35.98014,129.148843768125
16,울산-구룡포 해안,0,0,"26,647","11,658",0,0,"6,384.17",35.48405855,129.43046564434846
17,포항-영덕 해안,0,0,"7,756","7,416",0,0,"2,528.67",36.0559656,129.3775343
18,영덕-평해 해안,0,0,"7,787","5,932",0,0,"2,286.50",37.5800766,129.1136025
19,평해-울진 해안,0,0,"4,997","4,363",0,0,"1,560.00",36.7527981,129.4679578
20,울진-원덕 해안,0,0,"3,570","6,059",0,0,"1,604.83",37.1487075,129.3622862
